ID,Sample,Lot,Host,Matrix,Group,Head,A_minus,A,A_Plus,any_abscess,PREV_A_APLUS,PREV_ALL,PREVCAT_A_APLUS,PREVCAT_ALL
CF24_S72_L008,CF24,18010,bovine,feces,Treatment,79,20,9,17,46,32.9113924050633,58.2278481012658,Top3rd,Top3rd
CF11_S52_L007,CF11,18013,bovine,feces,Treatment,157,36,18,28,82,29.2993630573248,52.2292993630573,Top3rd,Top3rd
CF25_S22_L005,CF25,18025,bovine,feces,Control,112,24,18,25,67,38.3928571428571,59.8214285714286,Top3rd,Top3rd
CF20_S71_L008,CF20,18020,bovine,feces,Treatment,177,26,8,12,46,11.2994350282486,25.9887005649718,Bottom3rd,Bottom3rd
CF28_S73_L008,CF28,18028,bovine,feces,Control,199,51,6,28,85,17.0854271356784,42.713567839196,Middle3rd,Middle3rd
CF22_S33_L004,CF22,18022,bovine,feces,Control,171,32,3,23,58,15.2046783625731,33.9181286549708,Bottom3rd,Middle3rd
CF27_S56_L007,CF27,18027,bovine,feces,Treatment,194,22,1,11,34,6.18556701030928,17.5257731958763,Bottom3rd,Bottom3rd
CF6_S29_L003,CF6,18002,bovine,feces,Treatment,123,18,4,23,45,21.9512195121951,36.5853658536585,Middle3rd,Middle3rd
CF2_S33_L006,CF2,18004,bovine,feces,Control,168,41,12,32,85,26.1904761904762,50.5952380952381,Middle3rd,Top3rd
CF10_S35_L006,CF10,18018,bovine,feces,Control,173,25,18,30,73,27.7456647398844,42.1965317919075,Top3rd,Middle3rd
CF13_S14_L002,CF13,18011,bovine,feces,Control,162,18,8,23,49,19.1358024691358,30.2469135802469,Middle3rd,Bottom3rd
CF8_S68_L008,CF8,18008,bovine,feces,Control,183,32,3,19,54,12.0218579234973,29.5081967213115,Bottom3rd,Bottom3rd
CF5_S12_L001,CF5,18001,bovine,feces,Control,118,19,7,13,39,16.9491525423729,33.0508474576271,Middle3rd,Middle3rd
CF6_S29_L004,CF6,18002,bovine,feces,Treatment,123,18,4,23,45,21.9512195121951,36.5853658536585,Middle3rd,Middle3rd
CF11_S47_L006,CF11,18013,bovine,feces,Treatment,157,36,18,28,82,29.2993630573248,52.2292993630573,Top3rd,Top3rd
CF13_S19_L005,CF13,18011,bovine,feces,Control,162,18,8,23,49,19.1358024691358,30.2469135802469,Middle3rd,Bottom3rd
CF19_S49_L006,CF19,18019,bovine,feces,Control,174,18,3,20,41,13.2183908045977,23.5632183908046,Bottom3rd,Bottom3rd
CF2_S28_L004,CF2,18004,bovine,feces,Control,168,41,12,32,85,26.1904761904762,50.5952380952381,Middle3rd,Top3rd
CF4_S62_L008,CF4,18006,bovine,feces,Treatment,154,36,11,44,91,35.7142857142857,59.0909090909091,Top3rd,Top3rd
CF10_S30_L004,CF10,18018,bovine,feces,Control,173,25,18,30,73,27.7456647398844,42.1965317919075,Top3rd,Middle3rd
CF23_S50_L006,CF23,18009,bovine,feces,Control,92,20,11,18,49,31.5217391304348,53.2608695652174,Top3rd,Top3rd
CF27_S51_L005,CF27,18027,bovine,feces,Treatment,194,22,1,11,34,6.18556701030928,17.5257731958763,Bottom3rd,Bottom3rd
CF28_S68_L007,CF28,18028,bovine,feces,Control,199,51,6,28,85,17.0854271356784,42.713567839196,Middle3rd,Middle3rd
CF24_S67_L007,CF24,18010,bovine,feces,Treatment,79,20,9,17,46,32.9113924050633,58.2278481012658,Top3rd,Top3rd
CF25_S17_L001,CF25,18025,bovine,feces,Control,112,24,18,25,67,38.3928571428571,59.8214285714286,Top3rd,Top3rd
CF15_S53_L007,CF15,18015,bovine,feces,Control,165,34,4,25,63,17.5757575757576,38.1818181818182,Middle3rd,Middle3rd
CF10_S30_L003,CF10,18018,bovine,feces,Control,173,25,18,30,73,27.7456647398844,42.1965317919075,Top3rd,Middle3rd
CF26_S39_L006,CF26,18026,bovine,feces,Treatment,105,20,12,20,52,30.4761904761905,49.5238095238095,Top3rd,Top3rd
CF7_S51_L007,CF7,18007,bovine,feces,Treatment,186,28,3,21,52,12.9032258064516,27.9569892473118,Bottom3rd,Bottom3rd
CF11_S47_L005,CF11,18013,bovine,feces,Treatment,157,36,18,28,82,29.2993630573248,52.2292993630573,Top3rd,Top3rd
CF9_S18_L005,CF9,18017,bovine,feces,Treatment,165,30,16,38,84,32.7272727272727,50.9090909090909,Top3rd,Top3rd
CF15_S48_L005,CF15,18015,bovine,feces,Control,165,34,4,25,63,17.5757575757576,38.1818181818182,Middle3rd,Middle3rd
CF15_S48_L006,CF15,18015,bovine,feces,Control,165,34,4,25,63,17.5757575757576,38.1818181818182,Middle3rd,Middle3rd
CF20_S66_L008,CF20,18020,bovine,feces,Treatment,177,26,8,12,46,11.2994350282486,25.9887005649718,Bottom3rd,Bottom3rd
CF2_S28_L003,CF2,18004,bovine,feces,Control,168,41,12,32,85,26.1904761904762,50.5952380952381,Middle3rd,Top3rd
CF16_S65_L007,CF16,18016,bovine,feces,Treatment,167,22,2,24,48,15.5688622754491,28.7425149700599,Bottom3rd,Bottom3rd
CF5_S12_L002,CF5,18001,bovine,feces,Control,118,19,7,13,39,16.9491525423729,33.0508474576271,Middle3rd,Middle3rd
CF28_S68_L008,CF28,18028,bovine,feces,Control,199,51,6,28,85,17.0854271356784,42.713567839196,Middle3rd,Middle3rd
CF23_S50_L005,CF23,18009,bovine,feces,Control,92,20,11,18,49,31.5217391304348,53.2608695652174,Top3rd,Top3rd
CF18_S37_L006,CF18,18024,bovine,feces,Treatment,136,10,0,12,22,8.82352941176471,16.1764705882353,Bottom3rd,Bottom3rd
CF8_S63_L008,CF8,18008,bovine,feces,Control,183,32,3,19,54,12.0218579234973,29.5081967213115,Bottom3rd,Bottom3rd
CF1_S11_L001,CF1,18003,bovine,feces,Treatment,167,41,9,27,77,21.5568862275449,46.1077844311377,Middle3rd,Middle3rd
CF14_S31_L003,CF14,18012,bovine,feces,Treatment,171,35,13,36,84,28.6549707602339,49.1228070175439,Top3rd,Top3rd
CF19_S49_L005,CF19,18019,bovine,feces,Control,174,18,3,20,41,13.2183908045977,23.5632183908046,Bottom3rd,Bottom3rd
CF3_S45_L006,CF3,18005,bovine,feces,Control,159,21,7,47,75,33.9622641509434,47.1698113207547,Top3rd,Middle3rd
CF21_S16_L002,CF21,18021,bovine,feces,Treatment,172,31,0,24,55,13.953488372093,31.9767441860465,Bottom3rd,Middle3rd
CF18_S32_L003,CF18,18024,bovine,feces,Treatment,136,10,0,12,22,8.82352941176471,16.1764705882353,Bottom3rd,Bottom3rd
CF3_S45_L005,CF3,18005,bovine,feces,Control,159,21,7,47,75,33.9622641509434,47.1698113207547,Top3rd,Middle3rd
CF14_S36_L006,CF14,18012,bovine,feces,Treatment,171,35,13,36,84,28.6549707602339,49.1228070175439,Top3rd,Top3rd
CF7_S46_L005,CF7,18007,bovine,feces,Treatment,186,28,3,21,52,12.9032258064516,27.9569892473118,Bottom3rd,Bottom3rd
CF5_S17_L005,CF5,18001,bovine,feces,Control,118,19,7,13,39,16.9491525423729,33.0508474576271,Middle3rd,Middle3rd
CF21_S16_L001,CF21,18021,bovine,feces,Treatment,172,31,0,24,55,13.953488372093,31.9767441860465,Bottom3rd,Middle3rd
CF8_S63_L007,CF8,18008,bovine,feces,Control,183,32,3,19,54,12.0218579234973,29.5081967213115,Bottom3rd,Bottom3rd
CF1_S16_L005,CF1,18003,bovine,feces,Treatment,167,41,9,27,77,21.5568862275449,46.1077844311377,Middle3rd,Middle3rd
CF9_S13_L001,CF9,18017,bovine,feces,Treatment,165,30,16,38,84,32.7272727272727,50.9090909090909,Top3rd,Top3rd
CF1_S11_L002,CF1,18003,bovine,feces,Treatment,167,41,9,27,77,21.5568862275449,46.1077844311377,Middle3rd,Middle3rd
CF17_S15_L001,CF17,18023,bovine,feces,Control,138,14,2,15,31,12.3188405797101,22.463768115942,Bottom3rd,Bottom3rd
CF3_S50_L007,CF3,18005,bovine,feces,Control,159,21,7,47,75,33.9622641509434,47.1698113207547,Top3rd,Middle3rd
CF21_S21_L005,CF21,18021,bovine,feces,Treatment,172,31,0,24,55,13.953488372093,31.9767441860465,Bottom3rd,Middle3rd
CF7_S46_L006,CF7,18007,bovine,feces,Treatment,186,28,3,21,52,12.9032258064516,27.9569892473118,Bottom3rd,Bottom3rd
CF22_S33_L003,CF22,18022,bovine,feces,Control,171,32,3,23,58,15.2046783625731,33.9181286549708,Bottom3rd,Middle3rd
CF18_S32_L004,CF18,18024,bovine,feces,Treatment,136,10,0,12,22,8.82352941176471,16.1764705882353,Bottom3rd,Bottom3rd
CF12_S64_L008,CF12,18014,bovine,feces,Control,157,33,20,23,76,27.3885350318471,48.4076433121019,Middle3rd,Top3rd
CF12_S64_L007,CF12,18014,bovine,feces,Control,157,33,20,23,76,27.3885350318471,48.4076433121019,Middle3rd,Top3rd
CF16_S65_L008,CF16,18016,bovine,feces,Treatment,167,22,2,24,48,15.5688622754491,28.7425149700599,Bottom3rd,Bottom3rd
CF22_S38_L006,CF22,18022,bovine,feces,Control,171,32,3,23,58,15.2046783625731,33.9181286549708,Bottom3rd,Middle3rd
CF19_S54_L007,CF19,18019,bovine,feces,Control,174,18,3,20,41,13.2183908045977,23.5632183908046,Bottom3rd,Bottom3rd
CF4_S67_L008,CF4,18006,bovine,feces,Treatment,154,36,11,44,91,35.7142857142857,59.0909090909091,Top3rd,Top3rd
CF20_S66_L007,CF20,18020,bovine,feces,Treatment,177,26,8,12,46,11.2994350282486,25.9887005649718,Bottom3rd,Bottom3rd
CF26_S34_L004,CF26,18026,bovine,feces,Treatment,105,20,12,20,52,30.4761904761905,49.5238095238095,Top3rd,Top3rd
CF27_S51_L006,CF27,18027,bovine,feces,Treatment,194,22,1,11,34,6.18556701030928,17.5257731958763,Bottom3rd,Bottom3rd
CF24_S67_L008,CF24,18010,bovine,feces,Treatment,79,20,9,17,46,32.9113924050633,58.2278481012658,Top3rd,Top3rd
CF17_S20_L005,CF17,18023,bovine,feces,Control,138,14,2,15,31,12.3188405797101,22.463768115942,Bottom3rd,Bottom3rd
CF23_S55_L007,CF23,18009,bovine,feces,Control,92,20,11,18,49,31.5217391304348,53.2608695652174,Top3rd,Top3rd
CF6_S34_L006,CF6,18002,bovine,feces,Treatment,123,18,4,23,45,21.9512195121951,36.5853658536585,Middle3rd,Middle3rd
CF14_S31_L004,CF14,18012,bovine,feces,Treatment,171,35,13,36,84,28.6549707602339,49.1228070175439,Top3rd,Top3rd
CF26_S34_L003,CF26,18026,bovine,feces,Treatment,105,20,12,20,52,30.4761904761905,49.5238095238095,Top3rd,Top3rd
CF12_S69_L008,CF12,18014,bovine,feces,Control,157,33,20,23,76,27.3885350318471,48.4076433121019,Middle3rd,Top3rd
CF16_S70_L008,CF16,18016,bovine,feces,Treatment,167,22,2,24,48,15.5688622754491,28.7425149700599,Bottom3rd,Bottom3rd
CF9_S13_L002,CF9,18017,bovine,feces,Treatment,165,30,16,38,84,32.7272727272727,50.9090909090909,Top3rd,Top3rd
CF4_S62_L007,CF4,18006,bovine,feces,Treatment,154,36,11,44,91,35.7142857142857,59.0909090909091,Top3rd,Top3rd
CF25_S17_L002,CF25,18025,bovine,feces,Control,112,24,18,25,67,38.3928571428571,59.8214285714286,Top3rd,Top3rd
CF17_S15_L002,CF17,18023,bovine,feces,Control,138,14,2,15,31,12.3188405797101,22.463768115942,Bottom3rd,Bottom3rd
CF13_S14_L001,CF13,18011,bovine,feces,Control,162,18,8,23,49,19.1358024691358,30.2469135802469,Middle3rd,Bottom3rd
